KPI_ID,Code,Name,Type,Description,Guidelines,Folder_Tags,Schema,Reporting_Groups,ESG,SDG,Tags,Atlas_KPI_slug
,Personalizado_Social_01,Número de nuevas contrataciones de mujeres en puestos de Dirección,NUMBER,Número de nuevas contrataciones de mujeres en puestos de Dirección,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_02,Número de nuevas contrataciones de hombres en puestos de Dirección,NUMBER,Número de nuevas contrataciones de hombres en puestos de Dirección,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_03,Número de nuevas contrataciones de mujeres en puestos de Gerencia General,NUMBER,Número de nuevas contrataciones de mujeres en puestos de Gerencia General,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_04,Número de nuevas contrataciones de hombres en puestos de Gerencia General,NUMBER,Número de nuevas contrataciones de hombres en puestos de Gerencia General,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_05,Número de nuevas contrataciones de mujeres en puestos de Gerencia,NUMBER,Número de nuevas contrataciones de mujeres en puestos de Gerencia,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_06,Número de nuevas contrataciones de hombres en puestos de Gerencia,NUMBER,Número de nuevas contrataciones de hombres en puestos de Gerencia,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_07,Número de nuevas contrataciones de mujeres en puestos de Supervisión,NUMBER,Número de nuevas contrataciones de mujeres en puestos de Supervisión,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_08,Número de nuevas contrataciones de hombres en puestos de Supervisión,NUMBER,Número de nuevas contrataciones de hombres en puestos de Supervisión,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_09,Número de nuevas contrataciones de mujeres en puestos Operativos,NUMBER,Número de nuevas contrataciones de mujeres en puestos Operativos,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_10,Número de nuevas contrataciones de hombres en puestos Operativos,NUMBER,Número de nuevas contrataciones de hombres en puestos Operativos,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_11,Número de nuevas contrataciones de hombres en contrato permanente en planta,NUMBER,Número de nuevas contrataciones de hombres en contrato permanente en planta,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_12,Número de nuevas contrataciones de mujeres en contrato permanente en planta,NUMBER,Número de nuevas contrataciones de mujeres en contrato permanente en planta,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_13,Número de nuevas contrataciones de hombres en contrato temporal,NUMBER,Número de nuevas contrataciones de hombres en contrato temporal,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_14,Número de nuevas contrataciones de mujeres en contrato temporal,NUMBER,Número de nuevas contrataciones de mujeres en contrato temporal,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_17,Número de nuevas contrataciones de colaboradores menores de 30 años,NUMBER,Número de nuevas contrataciones de colaboradores menores de 30 años,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_18,Número de nuevas contrataciones de colaboradores entre 30 y 39 años,NUMBER,Número de nuevas contrataciones de colaboradores entre 30 y 39 años,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_19,Número de nuevas contrataciones de colaboradores entre 40 y 49 años,NUMBER,Número de nuevas contrataciones de colaboradores entre 40 y 49 años,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_20,Número de nuevas contrataciones de colaboradores entre 50 y 59 años,NUMBER,Número de nuevas contrataciones de colaboradores entre 50 y 59 años,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_21,Número de nuevas contrataciones de colaboradores mayores de 60 años,NUMBER,Número de nuevas contrataciones de colaboradores mayores de 60 años,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
